bin_id,name,Avg. NLL,Ensemble Diversity (NLL),Ensemble NLL,Ensemble Accuracy,Total Variance,num_params,ensemble_hyperparameters,ens_size,type,binning,seed,dataset,Num. Params
4,alexnet--squeezenet1_1--deepens_resnet101--deepens_resnet50,2.1812137470434165,0.8543138547204017,1.3268998900235485,0.7112,0.1874058514858884,,"{'model_scores': [4, 5, 6, 6], 'model_names': ['alexnet', 'squeezenet1_1', 'deepens_resnet101', 'deepens_resnet50']}",4,het,8,66719,imagenetv2mf,132442552.0
4,efficientnet-b0-autoaug--resnet50-vtab--shufflenet_v2_x0_5--squeezenet1_1,2.1325927809681224,0.46961962187951606,1.6629731565919952,0.6379,0.10517771171406248,,"{'model_scores': [6, 6, 5, 5], 'model_names': ['efficientnet-b0-autoaug', 'resnet50-vtab', 'shufflenet_v2_x0_5', 'squeezenet1_1']}",4,het,8,66719,imagenetv2mf,33485646.0
4,alexnet--squeezenet1_1--vgg16--deepens_resnet50,2.2000177792644346,0.8771826878112523,1.3228350903282105,0.7118,0.17622594462025046,,"{'model_scores': [4, 5, 6, 6], 'model_names': ['alexnet', 'squeezenet1_1', 'vgg16', 'deepens_resnet50']}",4,het,8,66719,imagenetv2mf,226250936.0
4,alexnet--shufflenet_v2_x0_5--vgg13--deepens_resnet101,2.2572238925660177,0.8573980565458623,1.3998258348456583,0.6789,0.16697801924540862,,"{'model_scores': [4, 5, 6, 6], 'model_names': ['alexnet', 'shufflenet_v2_x0_5', 'vgg13', 'deepens_resnet101']}",4,het,8,66719,imagenetv2mf,240064664.0
4,alexnet--resnet50-vtab--vgg16--deepens_resnet101,1.9973022963994496,0.7835603094508362,1.2137419842646113,0.7149,0.17484078839836176,,"{'model_scores': [4, 6, 6, 6], 'model_names': ['alexnet', 'resnet50-vtab', 'vgg16', 'deepens_resnet101']}",4,het,8,66719,imagenetv2mf,269602354.0
4,resnet50-vtab-semi-rotation--squeezenet1_1--vgg13--deepens_resnet101,2.200344026273866,0.8349691020680602,1.365374921458953,0.6831,0.16719578699731058,,"{'model_scores': [5, 5, 6, 6], 'model_names': ['resnet50-vtab-semi-rotation', 'squeezenet1_1', 'vgg13', 'deepens_resnet101']}",4,het,8,66719,imagenetv2mf,204435510.0
4,alexnet--squeezenet1_1--vgg13--vgg16,2.276598268036164,0.3850496854456932,1.8915485825904788,0.5832,0.09125253530699255,,"{'model_scores': [4, 5, 6, 6], 'model_names': ['alexnet', 'squeezenet1_1', 'vgg13', 'vgg16']}",4,het,8,66719,imagenetv2mf,333741752.0
5,deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet,3.1015772819519043,0.21060872077941895,2.890968706096537,0.3983,0.04289940744638443,,"{'model_scores': [4, 4, 4, 4], 'model_names': ['deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet']}",4,het,8,66719,imagenetv2mf,244403384.0
5,deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet,3.09203839302063,0.21341478824615479,2.8786233704221167,0.401,0.043276045471429825,,"{'model_scores': [4, 4, 4, 4], 'model_names': ['deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet']}",4,het,8,66719,imagenetv2mf,244403384.0
5,deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet,3.086815118789673,0.21248602867126465,2.874329062451885,0.4024,0.0434039868414402,,"{'model_scores': [4, 4, 4, 4], 'model_names': ['deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet']}",4,het,8,66719,imagenetv2mf,244403384.0
5,deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet,3.07633638381958,0.2092401087284088,2.8670961996870634,0.4041,0.042672235518693924,,"{'model_scores': [4, 4, 4, 4], 'model_names': ['deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet']}",4,het,8,66719,imagenetv2mf,244403384.0
5,deepens_alexnet--deepens_alexnet--deepens_alexnet--deepens_alexnet,3.0997633934020996,0.21355800330638885,2.8862053048851237,0.4008,0.043162569403648376,,"{'model_scores': [4, 4, 4, 4], 'model_names': ['deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet', 'deepens_alexnet']}",4,het,8,66719,imagenetv2mf,244403384.0
